name,is_folder,parent_path,full_path,absolute_path,size_bytes,created,modified,modified_epoch,created_epoch,days_since_modified
LSCNS_2018_Consolidated.pdf,False,03. Company Information\8. Audit Report Separated & Cosolidated\LSCNS_FINANCIAL STATEMENT,03. Company Information\8. Audit Report Separated & Cosolidated\LSCNS_FINANCIAL STATEMENT\LSCNS_2018_Consolidated.pdf,C:\Users\EKim\LS Cable\LSCUS Busway Division - General\06. LS Busway Library\03. Company Information\8. Audit Report Separated & Cosolidated\LSCNS_FINANCIAL STATEMENT\LSCNS_2018_Consolidated.pdf,1063248,2025-08-18T13:28:27.027018,2023-08-08T11:03:35,1691507015.0,1755538107.027018,751
LSCNS_2018_Separate.pdf,False,03. Company Information\8. Audit Report Separated & Cosolidated\LSCNS_FINANCIAL STATEMENT,03. Company Information\8. Audit Report Separated & Cosolidated\LSCNS_FINANCIAL STATEMENT\LSCNS_2018_Separate.pdf,C:\Users\EKim\LS Cable\LSCUS Busway Division - General\06. LS Busway Library\03. Company Information\8. Audit Report Separated & Cosolidated\LSCNS_FINANCIAL STATEMENT\LSCNS_2018_Separate.pdf,1151531,2025-08-18T13:28:27.046441,2023-08-08T11:03:36,1691507016.0,1755538107.0464413,751
LSCNS_2019_Consolidated.pdf,False,03. Company Information\8. Audit Report Separated & Cosolidated\LSCNS_FINANCIAL STATEMENT,03. Company Information\8. Audit Report Separated & Cosolidated\LSCNS_FINANCIAL STATEMENT\LSCNS_2019_Consolidated.pdf,C:\Users\EKim\LS Cable\LSCUS Busway Division - General\06. LS Busway Library\03. Company Information\8. Audit Report Separated & Cosolidated\LSCNS_FINANCIAL STATEMENT\LSCNS_2019_Consolidated.pdf,1662439,2025-08-18T13:28:27.054445,2023-08-08T11:03:37,1691507017.0,1755538107.054445,751
LSCNS_2019_Separate.pdf,False,03. Company Information\8. Audit Report Separated & Cosolidated\LSCNS_FINANCIAL STATEMENT,03. Company Information\8. Audit Report Separated & Cosolidated\LSCNS_FINANCIAL STATEMENT\LSCNS_2019_Separate.pdf,C:\Users\EKim\LS Cable\LSCUS Busway Division - General\06. LS Busway Library\03. Company Information\8. Audit Report Separated & Cosolidated\LSCNS_FINANCIAL STATEMENT\LSCNS_2019_Separate.pdf,1837145,2025-08-18T13:28:27.075167,2023-08-08T11:03:42,1691507022.0,1755538107.075167,751
LSCNS_2020_Consolidated.pdf,False,03. Company Information\8. Audit Report Separated & Cosolidated\LSCNS_FINANCIAL STATEMENT,03. Company Information\8. Audit Report Separated & Cosolidated\LSCNS_FINANCIAL STATEMENT\LSCNS_2020_Consolidated.pdf,C:\Users\EKim\LS Cable\LSCUS Busway Division - General\06. LS Busway Library\03. Company Information\8. Audit Report Separated & Cosolidated\LSCNS_FINANCIAL STATEMENT\LSCNS_2020_Consolidated.pdf,4332114,2025-08-18T13:28:27.106888,2023-08-08T11:03:50,1691507030.0,1755538107.1068876,751
Audit Report_2019.pdf,False,03. Company Information\8. Audit Report Separated & Cosolidated\LSCUS_FINANCIAL STATEMENT,03. Company Information\8. Audit Report Separated & Cosolidated\LSCUS_FINANCIAL STATEMENT\Audit Report_2019.pdf,C:\Users\EKim\LS Cable\LSCUS Busway Division - General\06. LS Busway Library\03. Company Information\8. Audit Report Separated & Cosolidated\LSCUS_FINANCIAL STATEMENT\Audit Report_2019.pdf,875391,2025-08-18T13:28:26.998910,2023-08-08T13:54:29,1691517269.0,1755538106.9989102,751
Audit Report_2020.pdf,False,03. Company Information\8. Audit Report Separated & Cosolidated\LSCUS_FINANCIAL STATEMENT,03. Company Information\8. Audit Report Separated & Cosolidated\LSCUS_FINANCIAL STATEMENT\Audit Report_2020.pdf,C:\Users\EKim\LS Cable\LSCUS Busway Division - General\06. LS Busway Library\03. Company Information\8. Audit Report Separated & Cosolidated\LSCUS_FINANCIAL STATEMENT\Audit Report_2020.pdf,248165,2025-08-18T13:28:26.991906,2023-08-08T13:54:29,1691517269.0,1755538106.9919064,751
Audit Report_2021(Consolidated).pdf,False,03. Company Information\8. Audit Report Separated & Cosolidated\LSCUS_FINANCIAL STATEMENT,03. Company Information\8. Audit Report Separated & Cosolidated\LSCUS_FINANCIAL STATEMENT\Audit Report_2021(Consolidated).pdf,C:\Users\EKim\LS Cable\LSCUS Busway Division - General\06. LS Busway Library\03. Company Information\8. Audit Report Separated & Cosolidated\LSCUS_FINANCIAL STATEMENT\Audit Report_2021(Consolidated).pdf,275909,2025-08-18T13:28:27.004916,2023-08-08T13:54:29,1691517269.0,1755538107.0049162,751
Audit Report_2018.pdf,False,03. Company Information\8. Audit Report Separated & Cosolidated\LSCUS_FINANCIAL STATEMENT,03. Company Information\8. Audit Report Separated & Cosolidated\LSCUS_FINANCIAL STATEMENT\Audit Report_2018.pdf,C:\Users\EKim\LS Cable\LSCUS Busway Division - General\06. LS Busway Library\03. Company Information\8. Audit Report Separated & Cosolidated\LSCUS_FINANCIAL STATEMENT\Audit Report_2018.pdf,435027,2025-08-18T13:28:26.984334,2023-08-08T13:54:30,1691517270.0,1755538106.984334,751
Audit Report_2022(Consolidated).pdf,False,03. Company Information\8. Audit Report Separated & Cosolidated\LSCUS_FINANCIAL STATEMENT,03. Company Information\8. Audit Report Separated & Cosolidated\LSCUS_FINANCIAL STATEMENT\Audit Report_2022(Consolidated).pdf,C:\Users\EKim\LS Cable\LSCUS Busway Division - General\06. LS Busway Library\03. Company Information\8. Audit Report Separated & Cosolidated\LSCUS_FINANCIAL STATEMENT\Audit Report_2022(Consolidated).pdf,266740,2025-08-18T13:28:27.019002,2023-08-08T13:54:30,1691517270.0,1755538107.019002,751
